"Account History - Account","Account History - ID","Account History - Next","Account History - Operation ID","Account History - Sequence","Additional Data - Fee Data - Amount","Additional Data - Fee Data -Asset","Additional Data - Transfer Data - Amount","Additional Data - Transfer Data - Asset","Block Data - Block Number","Block Data - Block Time","Block Data - Transaction ID","Operation History - Raw Operation","Operation History - Operation in Transaction","Operation History - Operation Result","Operation History - Transaction in Block","Operation Data - Virtual Operation","Operation Type"
1.2.131183,2.9.630021089,2.9.630021087,1.11.612208672,57674,,,,,32632500,2018-11-28T05:11:54,0803d5a63ce8e37e6685febc13068b3c8e2057d6,,0,"[0,{}]",26,6505,4
1.2.131183,2.9.630021087,2.9.630021086,1.11.612208670,57673,,,,,32632500,2018-11-28T05:11:54,0803d5a63ce8e37e6685febc13068b3c8e2057d6,,0,"[0,{}]",26,6503,4
1.2.131183,2.9.630020985,2.9.630020282,1.11.612208568,57671,,,,,32632498,2018-11-28T05:11:48,b10677f04aaf102a9bd0550e274a25d5db2cc436,,0,"[1,""1.8.94789""]",11,6314,3
1.2.131183,2.9.630020282,2.9.630020116,1.11.612207880,57670,,,,,32632480,2018-11-28T05:10:54,744fea9b09f631383ecb2d8a189e5c0f9f994ce6,,0,"[1,""1.8.94789""]",22,4817,3
1.2.131183,2.9.630020115,2.9.630019987,1.11.612207714,57668,,,,,32632476,2018-11-28T05:10:42,95f100beef5ebd3fc63c5c3b0d735378a92f4c9a,,0,"[1,""1.7.255640163""]",34,4488,1
1.2.131183,2.9.630020116,2.9.630020115,1.11.612207715,57669,,,,,32632476,2018-11-28T05:10:42,95f100beef5ebd3fc63c5c3b0d735378a92f4c9a,,0,"[0,{}]",34,4489,4
1.2.131183,2.9.630019987,2.9.630016825,1.11.612207587,57667,,,,,32632474,2018-11-28T05:10:36,e9f1c3a89902c18f74bc6688c4f351acf041f2b5,,0,"[1,""1.8.94789""]",5,4261,3
1.2.131183,2.9.630016825,2.9.630016597,1.11.612204477,57666,,,,,32632389,2018-11-28T05:06:21,f167b053521960d5181a516476f9004d76a4862c,,0,"[1,""1.8.94789""]",19,317,3
1.2.131183,2.9.630016597,2.9.630016596,1.11.612204251,57665,,,,,32632384,2018-11-28T05:06:06,468754c30a81f5c77dc7f72913d84818786f6d31,,0,"[0,{}]",18,91,4
1.2.131183,2.9.630016596,2.9.630016502,1.11.612204250,57664,,,,,32632384,2018-11-28T05:06:06,468754c30a81f5c77dc7f72913d84818786f6d31,,0,"[1,""1.7.255638817""]",18,90,1
1.2.131183,2.9.630016502,2.9.630016343,1.11.612204156,57663,,,,,32632382,2018-11-28T05:06:00,9c4aaba8aa079f81ccaf0a7f7c535f5659cb86d7,,0,"[1,""1.8.94789""]",12,65532,3
1.2.131183,2.9.630016343,2.9.630016342,1.11.612204000,57662,,,,,32632377,2018-11-28T05:05:45,e7bd08e4d731426231e400efe0e870b7299cb3c1,,0,"[0,{}]",22,65376,4
1.2.131183,2.9.630016342,2.9.630016195,1.11.612203999,57661,,,,,32632377,2018-11-28T05:05:45,e7bd08e4d731426231e400efe0e870b7299cb3c1,,0,"[1,""1.7.255638707""]",22,65375,1
1.2.131183,2.9.630016195,2.9.630016052,1.11.612203856,57660,,,,,32632374,2018-11-28T05:05:36,06f71e39402198e124180c6d4db3fdf97e94911b,,0,"[1,""1.8.94789""]",3,65232,3
